names,paths,durations,condition,mouse,sex,dataset,outlier,frameoffset,rec_id,height,width,computer,machine_p,filter,subject_id
Spontaneous_50Hz_filt01-15_float32_256-256-22499.raw,raw_data/Microbeads/Second arm/Second arm/206F_Spontaneous_beads_+96hrs,22499,First arm  beads 90min,206,F,Microbeads,0,1,59,256,256,neumann,float32,01-15,id_ef0be39f3af55019
Spontaneous_50Hz_filt01-15_float32_256-256-22488.raw,raw_data/Microbeads/Second arm/Second arm/206F_Spontaneous_beads_baseline,22488,First arm  beads baseline ,206,F,Microbeads,0,1,60,256,256,neumann,float32,01-15,id_cbb3b4b5a5251343
Spontaneous_50Hz_filt01-15_float32_256-256-22485.raw,raw_data/Microbeads/Second arm/Second arm/210M_Spontaneous_veh_+180,22485,First arm  veh 180min,210,M,Microbeads,0,1,61,256,256,neumann,float32,01-15,id_3f9285fbe7e24c7a
Spontaneous_50Hz_filt01-15_float32_256-256-22512.raw,raw_data/Microbeads/Second arm/Second arm/210M_Spontaneous_veh_+24hrs,22512,First arm  veh 24hrs,210,M,Microbeads,0,1,62,256,256,neumann,float32,01-15,id_c2c5728b8b0ffa41
Spontaneous_50Hz_filt01-15_float32_256-256-22499.raw,raw_data/Microbeads/Second arm/Second arm/210M_Spontaneous_veh_+30,22499,First arm  veh 30min,210,M,Microbeads,0,1,63,256,256,neumann,float32,01-15,id_83f93fb5338c177b
Spontaneous_50Hz_filt01-15_float32_256-256-22502.raw,raw_data/Microbeads/Second arm/Second arm/210M_Spontaneous_veh_+90,22502,First arm  veh 90min,210,M,Microbeads,0,1,64,256,256,neumann,float32,01-15,id_a28c9c8c7be13f10
Spontaneous_50Hz_filt01-15_float32_256-256-22501.raw,raw_data/Microbeads/Second arm/Second arm/210M_Spontaneous_veh_+96hrs,22501,First arm  veh 90min,210,M,Microbeads,0,1,65,256,256,neumann,float32,01-15,id_aef0ca0cb2285476
Spontaneous_50Hz_filt01-15_float32_256-256-22498.raw,raw_data/Microbeads/Second arm/Second arm/210M_Spontaneous_veh_baseline,22498,First arm  veh baseline ,210,M,Microbeads,0,1,66,256,256,neumann,float32,01-15,id_a3fd28699ec6901d
Spontaneous_50Hz_filt01-15_float32_256-256-22486.raw,raw_data/Microbeads/Second arm/Second arm/211F_Spontaneous_beads_+180,22486,First arm  beads 180min,211,F,Microbeads,0,1,67,256,256,neumann,float32,01-15,id_f6748d6338d9fb0f
Spontaneous_50Hz_filt01-15_float32_256-256-22484.raw,raw_data/Microbeads/Second arm/Second arm/211F_Spontaneous_beads_+24hrs,22484,First arm  beads 24hrs,211,F,Microbeads,0,1,68,256,256,neumann,float32,01-15,id_6d5380c4bac45b27
Spontaneous_50Hz_filt01-15_float32_256-256-22468.raw,raw_data/Microbeads/Second arm/Second arm/211F_Spontaneous_beads_+30,22468,First arm  beads 30min,211,F,Microbeads,0,1,69,256,256,neumann,float32,01-15,id_6eee99acbf9b0b5a
Spontaneous_50Hz_filt01-15_float32_256-256-22472.raw,raw_data/Microbeads/Second arm/Second arm/211F_Spontaneous_beads_+90,22472,First arm  beads 90min,211,F,Microbeads,0,1,70,256,256,neumann,float32,01-15,id_2accb542dc7bd1c8
Spontaneous_50Hz_filt01-15_float32_256-256-22502.raw,raw_data/Microbeads/Second arm/Second arm/211F_Spontaneous_beads_+96hrs,22502,First arm  beads 90min,211,F,Microbeads,0,1,71,256,256,neumann,float32,01-15,id_e7013d2e897a4749
Spontaneous_50Hz_filt01-15_float32_256-256-15909.raw,raw_data/Microbeads/Second arm/Second arm/211F_Spontaneous_beads_baseline,15909,First arm  beads baseline ,211,F,Microbeads,0,1,72,256,256,neumann,float32,01-15,id_782227c5fa86748b
Spontaneous_50Hz_filt01-15_float32_256-256-22486.raw,raw_data/Microbeads/Second arm/Second arm/212F_Spontaneous_veh_+180,22486,First arm  veh 180min,212,F,Microbeads,0,1,73,256,256,neumann,float32,01-15,id_b11ebf4cd61fe00f
Spontaneous_50Hz_filt01-15_float32_256-256-22478.raw,raw_data/Microbeads/Second arm/Second arm/212F_Spontaneous_veh_+24hrs,22478,First arm  veh 24hrs,212,F,Microbeads,0,1,74,256,256,neumann,float32,01-15,id_605b1071c666020a
Spontaneous_50Hz_filt01-15_float32_256-256-22470.raw,raw_data/Microbeads/Second arm/Second arm/212F_Spontaneous_veh_+30,22470,First arm  veh 30min,212,F,Microbeads,0,1,75,256,256,neumann,float32,01-15,id_aebce4513a2b501c
Spontaneous_50Hz_filt01-15_float32_256-256-22468.raw,raw_data/Microbeads/Second arm/Second arm/212F_Spontaneous_veh_+90,22468,First arm  veh 90min,212,F,Microbeads,0,1,76,256,256,neumann,float32,01-15,id_ab56df34ec36e407
Spontaneous_50Hz_filt01-15_float32_256-256-22499.raw,raw_data/Microbeads/Second arm/Second arm/212F_Spontaneous_veh_+96hrs,22499,First arm  veh 90min,212,F,Microbeads,0,1,77,256,256,neumann,float32,01-15,id_546dc0aa88af7451
Spontaneous_50Hz_filt01-15_float32_256-256-22474.raw,raw_data/Microbeads/Second arm/Second arm/212F_Spontaneous_veh_baseline,22474,First arm  veh baseline ,212,F,Microbeads,0,1,78,256,256,neumann,float32,01-15,id_dcd2b01b34e5f34b
Spontaneous_50Hz_filt01-15_float32_256-256-22497.raw,raw_data/Microbeads/Second arm/Second arm/215M_Spontaneous_veh_+180,22497,First arm  veh 180min,215,M,Microbeads,0,1,79,256,256,neumann,float32,01-15,id_ca41a2519ad3b0ec
Spontaneous_50Hz_filt01-15_float32_256-256-22508.raw,raw_data/Microbeads/Second arm/Second arm/215M_Spontaneous_veh_+24hrs,22508,First arm  veh 24hrs,215,M,Microbeads,0,1,80,256,256,neumann,float32,01-15,id_cdb2081d50e2c8f5
Spontaneous_50Hz_filt01-15_float32_256-256-22506.raw,raw_data/Microbeads/Second arm/Second arm/215M_Spontaneous_veh_+30,22506,First arm  veh 30min,215,M,Microbeads,0,1,81,256,256,neumann,float32,01-15,id_5de2a3e12dd22a06
Spontaneous_50Hz_filt01-15_float32_256-256-22505.raw,raw_data/Microbeads/Second arm/Second arm/215M_Spontaneous_veh_+90,22505,First arm  veh 90min,215,M,Microbeads,0,1,82,256,256,neumann,float32,01-15,id_e3c81088ad6ffe04
Spontaneous_50Hz_filt01-15_float32_256-256-22502.raw,raw_data/Microbeads/Second arm/Second arm/215M_Spontaneous_veh_+96hrs,22502,First arm  veh 90min,215,M,Microbeads,0,1,83,256,256,neumann,float32,01-15,id_8d141aefbac72952
Spontaneous_50Hz_filt01-15_float32_256-256-22504.raw,raw_data/Microbeads/Second arm/Second arm/215M_Spontaneous_veh_baseline,22504,First arm  veh baseline ,215,M,Microbeads,0,1,84,256,256,neumann,float32,01-15,id_13bd4550d5c9b166
Spontaneous_50Hz_filt01-15_float32_256-256-22494.raw,raw_data/Microbeads/Second arm/Second arm/216M_Spontaneous_beads_+180,22494,First arm  beads 180min,216,M,Microbeads,0,1,85,256,256,neumann,float32,01-15,id_9246dbf9a9e61021
Spontaneous_50Hz_filt01-15_float32_256-256-22503.raw,raw_data/Microbeads/Second arm/Second arm/216M_Spontaneous_beads_+24hrs,22503,First arm  beads 24hrs,216,M,Microbeads,0,1,86,256,256,neumann,float32,01-15,id_d351492f8b12adfe
Spontaneous_50Hz_filt01-15_float32_256-256-22506.raw,raw_data/Microbeads/Second arm/Second arm/216M_Spontaneous_beads_+30,22506,First arm  beads 30min,216,M,Microbeads,0,1,87,256,256,neumann,float32,01-15,id_ff812539bd492517
Spontaneous_50Hz_filt01-15_float32_256-256-22502.raw,raw_data/Microbeads/Second arm/Second arm/216M_Spontaneous_beads_+90,22502,First arm  beads 90min,216,M,Microbeads,0,1,88,256,256,neumann,float32,01-15,id_2cf6bdd8518e8063
Spontaneous_50Hz_filt01-15_float32_256-256-22499.raw,raw_data/Microbeads/Second arm/Second arm/216M_Spontaneous_beads_+96hrs,22499,First arm  beads 90min,216,M,Microbeads,0,1,89,256,256,neumann,float32,01-15,id_2fd97d8375470295
Spontaneous_50Hz_filt01-15_float32_256-256-22496.raw,raw_data/Microbeads/Second arm/Second arm/216M_Spontaneous_beads_baseline,22496,First arm  beads baseline ,216,M,Microbeads,0,1,90,256,256,neumann,float32,01-15,id_186849c6de81800f
Spontaneous_50Hz_filt01-15_float32_256-256-22506.raw,raw_data/Microbeads/Second arm/Second arm/217M_Spontaneous_beads_+180,22506,First arm  beads 180min,217,M,Microbeads,0,1,91,256,256,neumann,float32,01-15,id_65f719831e350668
Spontaneous_50Hz_filt01-15_float32_256-256-22509.raw,raw_data/Microbeads/Second arm/Second arm/217M_Spontaneous_beads_+24hrs,22509,First arm  beads 24hrs,217,M,Microbeads,0,1,92,256,256,neumann,float32,01-15,id_610579cf3beaf9a5
Spontaneous_50Hz_filt01-15_float32_256-256-22500.raw,raw_data/Microbeads/Second arm/Second arm/217M_Spontaneous_beads_+30,22500,First arm  beads 30min,217,M,Microbeads,0,1,93,256,256,neumann,float32,01-15,id_089c36e2f7fb9966
Spontaneous_50Hz_filt01-15_float32_256-256-22502.raw,raw_data/Microbeads/Second arm/Second arm/217M_Spontaneous_beads_+90,22502,First arm  beads 90min,217,M,Microbeads,0,1,94,256,256,neumann,float32,01-15,id_6fb387259f156cf4
Spontaneous_50Hz_filt01-15_float32_256-256-22505.raw,raw_data/Microbeads/Second arm/Second arm/217M_Spontaneous_beads_+96hrs,22505,First arm  beads 90min,217,M,Microbeads,0,1,95,256,256,neumann,float32,01-15,id_63cf1fec21fe2b84
Spontaneous_50Hz_filt01-15_float32_256-256-22505.raw,raw_data/Microbeads/Second arm/Second arm/217M_Spontaneous_beads_baseline,22505,First arm  beads baseline ,217,M,Microbeads,0,1,96,256,256,neumann,float32,01-15,id_7dc6802a0d25f150
Spontaneous_50Hz_filt01-15_float32_256-256-22508.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Baseline/373M_Spontaneous_50Hz_noiso,22508,Chronic_Baseline_cohort1,373,M,acute_stress,0,1,1,256,256,neumann,float32,01-15,id_a865d5f71f34ce15
Spontaneous_50Hz_filt01-15_float32_256-256-22502.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Baseline/374M_Spontaneous_50Hz_noiso,22502,Chronic_Baseline_cohort1,374,M,acute_stress,0,1,2,256,256,neumann,float32,01-15,id_f5c454db7499a29a
Spontaneous_50Hz_filt01-15_float32_256-256-22505.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Post 1 Hour/373M_Spontaneous_50Hz_noiso,22505,Chronic_Post1Hr_cohort1,373,M,acute_stress,0,1,3,256,256,neumann,float32,01-15,id_bf6a1ce374064044
Spontaneous_50Hz_filt01-15_float32_256-256-22507.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Post 1 Hour/374M_Spontaneous_50Hz_noiso,22507,Chronic_Post1Hr_cohort1,374,M,acute_stress,0,1,4,256,256,neumann,float32,01-15,id_669f2c920e559b27
Spontaneous_50Hz_filt01-15_float32_256-256-22509.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Post 24 Hours/373M_Spontaneous_50Hz_noiso,22509,Chronic_Post24Hr_cohort1,373,M,acute_stress,0,1,5,256,256,neumann,float32,01-15,id_b3df895b2eb3a247
Spontaneous_50Hz_filt01-15_float32_256-256-22507.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Post 24 Hours/374M_Spontaneous_50Hz_noiso,22507,Chronic_Post24Hr_cohort1,374,M,acute_stress,0,1,6,256,256,neumann,float32,01-15,id_8d97f4d904e41f9c
Spontaneous_50Hz_filt01-15_float32_256-256-22510.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Post Shock/373M_Spontaneous_50Hz_noiso,22510,Chronic_PostShock_cohort1,373,M,acute_stress,0,1,7,256,256,neumann,float32,01-15,id_d50a163c57a50b71
Spontaneous_50Hz_filt01-15_float32_256-256-22498.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Chronic Stress/Post Shock/374M_Spontaneous_50Hz_noiso,22498,Chronic_PostShock_cohort1,374,M,acute_stress,0,1,8,256,256,neumann,float32,01-15,id_a363b69b99bef2d6
Spontaneous_50Hz_filt01-15_float32_256-256-22507.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Stress/Baseline/378M_Spontaneous_50Hz_noiso,22507,Acute_Baseline_cohort1,378,M,acute_stress,0,1,9,256,256,neumann,float32,01-15,id_ba5df60242c570b2
Spontaneous_50Hz_filt01-15_float32_256-256-22503.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Stress/Baseline/379M_Spontaneous_50Hz_noiso,22503,Acute_Baseline_cohort1,379,M,acute_stress,0,1,10,256,256,neumann,float32,01-15,id_8c4eaa71b1348241
Spontaneous_50Hz_filt01-15_float32_256-256-22507.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Stress/Baseline/389F_Spontaneous_50Hz_noiso,22507,Acute_Baseline_cohort1,389,F,acute_stress,0,1,11,256,256,neumann,float32,01-15,id_38fab20d76c407d6
Spontaneous_50Hz_filt01-15_float32_256-256-22504.raw,raw_data/acute_stress/Alex Acute Stress Cohort 1/Acute Stress/Baseline/392F_Spontaneous_50Hz_noiso,22504,Acute_Baseline_cohort1,392,F,acute_stress,0,1,12,256,256,neumann,float32,01-15,id_a58d7d2fe702affa
